movie_name,n_total,n_pos,n_neu,n_neg,pos_rate,avg_rating
bram stokerâ??s dracula,2,0,2,0,0.0,0.7
breakfast at tiffanyâ??s,2,1,1,0,0.5,0.8
breathless,2,2,0,0,1.0,0.9
bridesmaids,1,1,0,0,1.0,1.0
bridget jonesâ??s diary,4,1,3,0,0.25,0.675
brokeback mountain,12,9,1,0,0.75,0.9
bros,1,0,0,0,0.0,0.5
buffalo â??66,1,1,0,0,1.0,0.9
bullet train,11,5,5,0,0.45454545454545453,0.7
burn after reading,1,0,0,0,0.0,0.5
burning,2,2,0,0,1.0,0.9
but i'm a cheerleader,2,2,0,0,1.0,0.9
but iâ??m a cheerleader,5,4,1,0,0.8,0.82
call me by your name,5,4,1,0,0.8,0.8800000000000001
candyman,4,1,2,0,0.25,0.7
captain america: the winter soldier,2,2,0,0,1.0,0.9
captain marvel,1,0,0,1,0.0,0.4
carol,6,6,0,0,1.0,0.9833333333333334
carrie,5,5,0,0,1.0,0.8800000000000001
cars,1,0,1,0,0.0,0.6
casablanca,3,3,0,0,1.0,0.9666666666666666
casino royale,2,2,0,0,1.0,1.0
castle in the sky,1,0,1,0,0.0,0.7
catch me if you can,2,2,0,0,1.0,0.85
cats,5,0,0,4,0.0,0.175
central station,1,1,0,0,1.0,0.9
cha cha real smooth,3,3,0,0,1.0,0.9
charade,1,1,0,0,1.0,0.8
charlie and the chocolate factory,1,0,1,0,0.0,0.6
cherry,1,0,0,1,0.0,0.2
chicago,1,1,0,0,1.0,1.0
chicken little,1,0,0,1,0.0,0.2
children of men,2,2,0,0,1.0,0.95
chinatown,1,1,0,0,1.0,0.9
chip â??n dale: rescue rangers,3,2,1,0,0.6666666666666666,0.7333333333333333
choose or die,1,0,0,1,0.0,0.3
christopher robin,1,0,1,0,0.0,0.7
chungking express,6,4,1,0,0.6666666666666666,0.8400000000000001
cinderella,4,0,0,3,0.0,0.13333333333333333
citizen kane,4,3,0,1,0.75,0.75
climax,4,3,1,0,0.75,0.9
close,4,4,0,0,1.0,0.9
closer,3,2,1,0,0.6666666666666666,0.7666666666666667
cloudy with a chance of meatballs,1,1,0,0,1.0,0.8
clue,5,4,0,0,0.8,0.9
clueless,5,5,0,0,1.0,0.9400000000000001
clã©o from 5 to  6,1,1,0,0,1.0,0.8
cocaine bear,11,3,5,0,0.2727272727272727,0.7625
coco,2,2,0,0,1.0,0.8
coda,8,3,4,0,0.375,0.7428571428571429
coherence,2,2,0,0,1.0,0.8
collateral,2,1,0,0,0.5,0.9
columbus,2,2,0,0,1.0,0.95
come and see,2,2,0,0,1.0,1.0
coraline,3,3,0,0,1.0,0.9
corpse bride,2,1,1,0,0.5,0.8
cowboy bebop,1,0,0,0,0.0,0.5
crash,2,2,0,0,1.0,0.9
crazy rich asians,1,1,0,0,1.0,0.9
"crazy, stupid, love.",3,2,1,0,0.6666666666666666,0.7666666666666667
creed,3,3,0,0,1.0,0.9
creed iii,1,1,0,0,1.0,0.8
creep,1,1,0,0,1.0,0.9
creep 2,1,0,1,0,0.0,0.6
crimes of the future,2,1,1,0,0.5,0.65
cruel intentions,1,0,1,0,0.0,0.6
