movie_name,review_anger,review_fear,review_sadness,review_joy,review_disgust,review_surprise,review_trust,review_anticipation,summary_anger,summary_fear,summary_sadness,summary_joy,summary_disgust,summary_surprise,summary_trust,summary_anticipation,combined_anger,combined_fear,combined_sadness,combined_joy,combined_disgust,combined_surprise,combined_trust,combined_anticipation
the barbarian invasions,1.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0
the barber,2.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0
the barefoot contessa,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0
the basketball diaries,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
the batman,0.3181818181818182,0.22727272727272727,0.13636363636363635,0.5909090909090909,0.18181818181818182,0.18181818181818182,0.3181818181818182,0.4090909090909091,0.3181818181818182,0.22727272727272727,0.13636363636363635,0.5909090909090909,0.18181818181818182,0.18181818181818182,0.3181818181818182,0.4090909090909091,0.3181818181818182,0.22727272727272727,0.13636363636363635,0.5909090909090909,0.18181818181818182,0.18181818181818182,0.3181818181818182,0.4090909090909091
the battle of shaker heights,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0
the baxter,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
the bay,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0
the beach,1.0,3.0,1.0,4.0,0.0,4.0,4.0,4.0,1.0,3.0,1.0,4.0,0.0,4.0,4.0,4.0,1.0,3.0,1.0,4.0,0.0,4.0,4.0,4.0
the beach bum,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0
the beach house,2.0,5.0,6.0,4.0,1.0,3.0,4.0,5.0,2.0,5.0,6.0,4.0,1.0,3.0,4.0,5.0,2.0,5.0,6.0,4.0,1.0,3.0,4.0,5.0
the beaches of agnès,0.0,1.0,2.0,4.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,0.0,2.0,2.0,3.0
the bear,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
the beat that my heart skipped,2.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0
the beatles: eight days a week - the touring years,1.0,0.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,0.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,0.0,2.0,4.0,1.0,4.0,3.0,4.0
the beatles: get back,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
the beautiful city,2.0,1.0,0.0,2.0,0.0,1.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,3.0
the beauty academy of kabul,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
the beaver,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0
the bedroom window,2.0,8.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,4.0,1.0
the bee gees: how can you mend a broken heart,4.0,3.0,1.0,2.0,0.0,0.0,3.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0,3.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0,3.0,2.0
the beguiled,6.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,6.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,6.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0
the believer,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0
the believers,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0
the belko experiment,1.0,3.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,3.0
the bellboy,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0
the berlin file,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0
the best and the brightest,0.0,1.0,0.0,5.0,0.0,1.0,7.0,4.0,0.0,1.0,0.0,5.0,0.0,1.0,7.0,4.0,0.0,1.0,0.0,5.0,0.0,1.0,7.0,4.0
the best exotic marigold hotel,1.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0
the best little whorehouse in texas,2.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0
the best man,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0
the best man holiday,1.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0
the best of enemies,1.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0
the best of me,2.0,3.0,3.0,6.0,0.0,2.0,5.0,2.0,2.0,3.0,3.0,6.0,0.0,2.0,5.0,2.0,2.0,3.0,3.0,6.0,0.0,2.0,5.0,2.0
the best of times,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0
the best offer,0.0,4.0,2.0,4.0,1.0,5.0,4.0,8.0,0.0,4.0,2.0,4.0,1.0,5.0,4.0,8.0,0.0,4.0,2.0,4.0,1.0,5.0,4.0,8.0
the best years of our lives,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
the beta test,4.0,4.0,2.0,0.0,4.0,2.0,0.0,2.0,4.0,4.0,2.0,0.0,4.0,2.0,0.0,2.0,4.0,4.0,2.0,0.0,4.0,2.0,0.0,2.0
the betrayal - nerakhoon,2.0,8.0,4.0,4.0,0.0,2.0,3.0,4.0,2.0,8.0,4.0,4.0,0.0,2.0,3.0,4.0,2.0,8.0,4.0,4.0,0.0,2.0,3.0,4.0
the better angels,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0
the beverly hillbillies,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
the bfg,1.0,19.0,3.0,4.0,1.0,5.0,4.0,12.0,1.0,19.0,3.0,4.0,1.0,5.0,4.0,12.0,1.0,19.0,3.0,4.0,1.0,5.0,4.0,12.0
the big bang,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
the big bounce,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0
the big chill,0.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0
