movie_name,summary
how i killed my father,deal complex fascinating relationship year old jean luc berling successful gerontologist living wealthy parisian suburb long estranged father bouquet
lumumba,berlin conference europe divided african continent congo became personal property king leopold ii belgium june young self taught nationalist patrice lumumba became age first head government new independent state would last two month office zeitgeist film
"good luck to you, leo grande",nancy stokes emma thompson know good sex whatever may nancy retired schoolteacher pretty sure never determined finally something even plan involves anonymous hotel room young sex worker call leo grande daryl mccormack leo confident dapper take pride good job also appears intrigued nancy one many thing surprise time together
rocks in my pockets,fighting sanity signe baumane us wit imagination confront secret family madness
speed,keanu reef star jack traven lapd swat team specialist sent diffuse bomb revenge driven extortionist hopper planted bus jack passenger sandra bullock must keep bus speeding street los angeles mile per hour bomb explode high octane chase suspense non stop action surprise twist speed joyride sure keep everyone edge seat th century fox
the elephant man,victorian surgeon rescue heavily disfigured man mistreated scraping living side show freak behind monstrous facade revealed person intelligence sensitivity
putty hill,neighborhood karaoke bar friend family gather remember young man passed away knowing little final day attempt reconstruct life process offer window onto life evocative picture working class america dislocated progress mobility around united pursuit shared dream cinema guild
born into brothels: calcutta's red light kids,documentary inspiring look transformative journey group extraordinary child calcutta red light district thinkfilm
breathe,charlie jos phine japy seventeen bored estranged parent caught drama pay much attention school hold surprise either charlie grows tired staid friend enter sarah lou de la ge confident charismatic new transfer student brings alluring air boldness danger two form instant connection shared secret love interest holiday getaway relationship deepens level unspoken intimacy intimacy come jealousy unrealistic expectation soon teen find dangerous trajectory toward inevitable unforeseen collapse film movement
the freshman,n c film school student matthew broderick accepts job local mobster resembles famous cinema godfather take young man wing demanding total loyalty
we met in virtual reality,filmed entirely inside world virtual reality vr immersive revealing documentary root several unique community within vr chat burgeoning virtual reality platform observational scene captured real time true documentary style film reveals growing power intimacy several relationship formed virtual world many began covid lockdown many physical world facing intense isolation
the other side of the wind,surrounded fan skeptic grizzled director j j jake hannaford john huston return year abroad europe changed hollywood attempt make comeback career summation work cinema adventurous filmmaker orson welles netlfix
the grief of others,ryries suffered loss death baby fifty seven hour birth without word express grief parent john ricky try return previous life couple child ten year old biscuit thirteen year old paul responding unnamed tension around begin act exquisitely idiosyncratic way family member scatter private isolating grief unexpected visitor arrives find growing alert hurt humor warmth burden others grief part every human life also carry within power draw u together
barracuda,strange woman come texas meet half sister stake claim family music legacy one way another
clash,set entirely within confines police van clash dramatizes ongoing political unrest egypt two year arab spring mass protest led ouster ruling muslim brotherhood army series arrest find rival demonstrator trapped paddywagon together threat impossibly stifling heat simple setup mohamed diab weave white knuckled tale resistance shared humanity artfully evokes political fault line arab world populous nation kino lorber
roadrunner: a film about anthony bourdain,go leave behind chef writer adventurer provocateur anthony bourdain lived life unabashedly roadrunner film anthony bourdain intimate behind scene look anonymous chef became world renowned cultural icon
amanda knox,american exchange student amanda knox convicted eventually acquitted death another student italy
the color purple,rural georgia first half th century celie whoopi goldberg married abusive man danny glover becoming pregnant father based alice walker pulitzer prize winning novel
high flying bird,midst pro basketball lockout sport agent ray burke andr holland find caught face league player career line ray playing higher stake hour pull daring plan outmaneuvers power player uncovers loophole could change game forever outcome raise question owns game ought
the humans,erik blake gathered three generation pennsylvania family celebrate thanksgiving daughter apartment lower manhattan darkness fall outside eerie thing start go bump night group deepest fear laid bare
babette's feast,late th century strict religious community danish village take french refugee franco prussian war servant late pastor daughter
near dark,small town farmer son reluctantly join traveling group vampire bitten beautiful drifter
5 broken cameras,extraordinary work cinematic political activism broken camera deeply personal first hand account non violent resistance bil west bank village threatened encroaching israeli settlement shot almost entirely palestinian farmer emad burnat bought first camera record birth youngest son footage later given israeli co director guy davidi edit structured around violent destruction one burnat camera filmmaker collaboration follows one family evolution five year village turmoil burnat watch behind lens olive tree bulldozed protest intensify life lost feel like camera protects say illusion kino lorber
one of us,one u offer look secretive world hasidic judaism wish escape community life among non religious whatever cost
dirty pretty things,thriller set london secret underworld everything sale young man ejiofor turkish chambermaid tautou work west london hotel breeding ground illegal activity put test man make shocking discovery late one night miramax film
amandla! a revolution in four part harmony,amandla tell story black south african freedom music reveals central role played long battle apartheid artisan entertainment
punch-drunk love,paul thomas anderson fourth film feature sandler lonely man serious emotional issue concocts scheme involving frequent flier mile copious amount pudding find falling prey phone sex scam falling love sister colleague
how to draw a bunny,rashomon like portrait ray johnson whose life death art came made new york famous unknown artist grace glueck ny time film forum
diamond men,aging diamond salesman forster heart condition forced train brash inexperienced kid wahlberg clash almost immediately
the thin red line,thin red line tell story group men army rifle company called c charlie change suffer ultimately make essential discovery fierce world war ii battle guadalcanal fox
chungking express,wong kar wai movie two love struck cop filmed impressionistic splash motion color first half deal cop broken girlfriend five year purchase tin pineapple expiration date may day month end time feel either rejoined love expired forever second half show cop dealing breakup flight attendant girlfriend talk apartment furnishing meet new girl local lunch counter
a hidden life,based real event hidden life story franz j gerst tter refused fight nazi world war ii austrian peasant farmer faced threat execution treason unwavering faith love wife fani child keep spirit alive
o'horten,moment train leaf station without engineer odd horten aboard realizes path ahead journey without printed timetable well known station horten forced retire year traveling stable rail platform feel like safe place anymore orderly solitary existence give way future unlikely adventure puzzling dilemma horten ever travel plane finally sell prized boat horten end pair woman red high heeled shoe survive nighttime drive blindfolded man wheel proof positive humor found aging elderly norwegian identify laugh embrace life idiosyncratic splendor horten bent hamer wonderfully skewed view human condition give u somewhat absurdist vision great warmth little melancholy universal appeal sony picture classic
the summit of the gods,fukamachi young japanese photojournalist find camera could change history mountaineering lead mysterious habu outcast climber believed missing year fukamachi enters world obsessive mountaineer hungry impossible conquest journey lead step step towards summit god
in between,lalia mouna hawa salma sana jammelieh nur shaden kanboura share apartment vibrant heart tel aviv lalia criminal lawyer wicked wit love burn workday stress underground club scene salma slightly subdued dj bartender nur younger religious muslim girl move apartment order study university nur intrigued intimidated two sophisticated roommate conservative fiance visit horrified secular friend entreating hasten marriage leave tel aviv assume rightful role wife refuse violent rebuttal leaf woman shaken salma lalia also face turmoil lalia found love modern muslim man whose acceptance prof less unconditional salma discovers christian family northern galilean village liberal claim three different woman find balancing act tradition modernity citizenship culture fealty freedom film movement
pray the devil back to hell,pray devil back hell extraordinary story small band liberian woman came together midst bloody civil war took violent warlord corrupt charles taylor regime long awaited peace shattered country rebel noose tightened upon monrovia peace talk faced collapse woman liberia christian muslim united formed thin unshakable white line opposing force successfully demanded end fighting armed white shirt courage conviction balcony releasing
born to fly,elizabeth streb streb extreme action company form motley troupe flyer crasher propelled streb edict anything safe action daredevil challenge assumption art aging injury gender human possibility born fly trace evolution elizabeth streb movement philosophy push performer ground sky
trouble in mind,life ex con coffee shop owner young couple looking make rich intersect fictional hypnotic rain city
"onoda: 10,000 nights in the jungle",japan trained intelligence work hiroo onoda year old discovers philosophy contrary official line suicide stay alive whatever happens mission important anything else sent lubang small island philippine american land role wage guerilla war return japanese troop empire surrender soon onoda day later incredible true story
diego maradona,constructed hour never seen footage documentary center career celebrated football player diego maradona played ssc napoli
"after dark, my sweet",ex boxer drifting around escaping mental hospital meet widow convinces help fix neglected estate ex husband left uncle talk helping kidnap rich boy ransom money ex fighter must make decision loyalty right
a passage to india,cultural mistrust false accusation doom friendship british colonial india indian doctor englishwoman engaged marry city magistrate english educator
a silent voice,silent voice follows poignant moving story shoya ishida school bully shoko nishimiya young girl hearing disability story begin sixth grade shoko transfer shoya elementary school quickly find bullied isolated due hearing disability year later table turn shoya find victim silent voice depicts struggle challenge adolescence alongside coming age outside norm eleven art
"i, daniel blake",winner palme cannes film festival latest legendary director ken loach gripping human tale impact one man make gruff goodhearted daniel blake dave john man time widowed woodworker never owned computer life according common sense moral code heart attack leaf unable work state welfare system fails stubbornly self reliant daniel must stand fight dignity leading one man crusade compassion transform life struggling single mother hayley squire two child ifc film
the counterfeiters,true story salomon sorowitsch counterfeiter extraordinaire bohemian captured nazi agrees help nazi organized counterfeiting operation set finance war effort biggest counterfeit money scam time million pound sterling printed condition tragic spectacular last year war german reich saw end near authority decided produce banknote currency major war enemy hoped use dud flood enemy economy fill empty war coffer sachsenhausen concentration camp two barrack separated rest camp outside world transformed fully equipped counterfeiter workshop operation bernhard born prisoner brought sachsenhausen camp implement plan professional printer fastidious bank official simple craftsman became member top secret counterfeiter crew choice cooperated enemy chance survive first class prisoner golden cage enough eat bed sleep sabotaged operation sure death awaited counterfeiter question saving life also saving conscience well sony classic
roman polanski: wanted and desired,reopening case inspired curiosity controversy confusion three decade roman polanski wanted desired extensive exploration circumstance led circus followed polanski conviction unlawful sexual intercourse minor zenovich unprecedented access several key player case including lawyer representing case medium covering unusually clear eyed candid victim unearthing trove telling footage past combining insightful interview today brings comprehension clarity event long clouded myth misconception thrilling examination case became prototype innumerable hollywood courtroom scandal follow film becomes brilliant discourse attraction repulsion defines celebrity culture contemporary america thinkfilm
after the wedding,sweeping yet entirely intimate wedding shattering portrait family struggling fragility life search connection healing forgiveness ifc film
playing with sharks,pioneering scuba diver valerie taylor dedicated life exposing myth surrounding fear shark
alice in the cities,german journalist saddled nine year old girl encountering mother new york airport
the dark knight rises,eight year since batman vanished night turning instant hero fugitive assuming blame death harvey dent dark knight sacrificed everything commissioner gordon hoped greater good time lie worked criminal activity gotham city crushed weight anti crime dent act everything change arrival cunning cat burglar mysterious agenda far dangerous however emergence bane masked terrorist whose ruthless plan gotham drive bruce self imposed exile even don cape cowl batman may match bane warner bros picture
the lost city of z,lieutenant colonel percy fawcett charlie hunnam british military man turned explorer search lost city deep amazon quest grows increasingly feverish decade long magnificent obsession take toll reputation home life wife sienna miller child existence
girl picture,best friend mimmi r nkk back always want live adventurous life loaded experience passion emma contrary given whole life figure skating nothing get success girl meet life open new path rocket new direction mimmi emma experience earth moving effect first love r nkk quest find pleasure
devil in a blue dress,denzel washington star ezekiel easy rawlins decorated war hero return home segregation post war america forced accept table job finding missing socialite easy caught white power elite vibrant black community central avenue soon easy trigger happy friend mouse cheadle find mysterious daphne monet beals trouble follows sony
the devil's backbone,ghost story set catholic orphanage spanish civil war
avengers: endgame,grave course event set motion thanos wiped half universe fractured avenger rank compels remaining avenger take one final stand marvel studio grand conclusion twenty two film
donbass,donbas region eastern ukraine hybrid war take place involving open armed conflict alongside killing robbery mass scale perpetrated separatist gang donbas war called peace propaganda uttered truth hatred declared love journey donbas unfolds chain curious adventure grotesque drama intertwined life death tale one region one country one political system world lost post truth fake identity every one u cannes
blind shaft,film tell story two itinerant chinese miner risk life dangerous working condition develop questionable moral order survive kino international
southern comfort,backdrop rural georgia documentary portrait robert eads transgender female male dealing ovarian cancer
a time for drunken horses,youngest boy destitute iranian kurdish family suffers terminal illness young sibling struggle pay life saving operation shooting gallery
midnight run,bounty hunter jack walsh de niro offered bail bondsman capture fugitive accountant jonathan duke mardukas grodin bring los angeles time trial date walsh must avoid rival bounty hunter fbi mob earn payday
the guard,guard comedic fish water tale murder blackmail drug trafficking rural police corruption two cop must join force take international drug smuggling gang unorthodox irish policeman straitlaced fbi agent sony picture classic
bathtubs over broadway,late night comedy writer stumble upon hilarious hidden world entertainment find unexpected connection fellow man
blue ruin,beach bum find quiet life upended dreadful news set childhood home carry act revenge proving inept assassin wind brutal fight protect estranged family
ryuichi sakamoto: coda,one important artist era ryuichi sakamoto prolific career spanning four decade techno pop stardom oscar winning film composer evolution music coincided life journey following fukushima sakamoto became iconic figure japan social movement nuclear power sakamoto return music following cancer diagnosis haunting awareness life crisis lead resounding new masterpiece ryuichi sakamoto coda intimate portrait artist man
the war of the worlds,small town california attacked martian beginning worldwide invasion
pavilion,max laconic teenager leaf lakeside town live father fringe suburban arizona
lassie come home,destitute family forced sell collie named lassie pal escape new owner begin long trek scotland yorkshire home
hooligan sparrow,chinese elementary school principal raped six student seems poised receive light sentence famed woman right advocate ye haiyan aka hooligan sparrow lead group activist protest move could end participant arrest filmmaker nanfu wang film demonstration aftermath becomes embroiled government effort harass intimidate everyone associated protest threatened angry mob chased police interrogated national security agent wang discovers chinese government willingness target anyone perceive threat control
on dangerous ground,rough city cop jim wilson disciplined captain sent upstate snowy mountain town help local sheriff solve murder case
ex machina,caleb smith domhnall gleeson programmer internet search giant win competition spend week private mountain estate company brilliant reclusive ceo nathan bateman oscar isaac upon arrival caleb learns nathan chosen human component turing test charging evaluating capability ultimately consciousness nathan latest experiment artificial intelligence experiment ava alicia vikander breathtaking whose emotional intelligence prof sophisticated seductive deceptive two men could imagined
saloum,three mercenary extracting druglord guinea bissau forced hide mystical region saloum senegal
a gentle creature,one day woman receives parcel sent incarcerated husband time earlier confused deeply concerned decides go prison remote area russia seek information begin story journey rife humiliation violence story absurd battle impenetrable fortress
the tribe,somewhere ukraine sergey enters specialized boarding school deaf alone new unfamiliar place must find way school hierarchy sergey quickly encounter tribe student gang dealing crime prostitution passing hazing ritual inducted group take part several robbery begin work way chain command become pimp protector two girl turn trick local truck stop finding love one sergey ultimately break unwritten rule tribe tragic consequence drafthouse film
the sisters brothers,based patrick dewitt acclaimed novel name sister brother follows two brother eli charlie sister hired kill prospector stolen bos story genre hybrid comedic element take place oregon
pit and the pendulum,sixteenth century francis barnard travel spain clarify strange circumstance sister death married son cruel spanish inquisitor
a love song,faye dale dickey lone traveler biding time fishing birding stargazing rural colorado campground awaits arrival lito wes studi figure past navigating tentative nomadic journey across rugged west like country music traditionally channeled heartbreak resilience american search others love song weave lyrical ultimately joyful refrain transformative act alone reminds u love nourish mystify age
at the ready,ten mile mexican border student horizon high school el paso texas enrolling law enforcement class joining unique school activity criminal justice club mock ups drug raid active shooter takedown inch closer desired career border patrol policing custom enforcement follow mexican american student kassy cesar recent graduate cristina navigate complication inherent chosen path discover choice may clash value people hold dear
detective story,one day st precinct squad room assorted character form backdrop trouble hard nosed detective jim mcleod
non-fiction,set amidst bohemian intelligentsia parisian publishing world non fiction trace romantic emotional fallout result controversial writer vincent macaigne begin blurring line fact fiction using real life love affair including passionate fling actress juliette binoche happens married editor guillame canet fodder explosive new novel ifc film
jazz fest: a new orleans story,new orleans jazz heritage festival presented shell aka jazz fest signature annual music cultural event city called america greatest festival celebrating music food art craft louisiana since jazz fest essential showcase rich heritage region hundred thousand attend event year local music hero joined stage important figure entertainment highlighting connection louisiana culture world jazz fest new orleans story weave together live performance interview th anniversary iconic festival featuring biggest name music industry along wealth archival documentary footage past half century film capture festival beauty glory also delf deep rich culture big easy
eve's bayou,daughter witness father affair begin chain reaction could tear family apart
tex,mother dy father leaf teenage brother tex mason mccormick struggle make
dr. no,resourceful british government agent seek answer case involving disappearance colleague disruption american space program
miracle in milan,open hearted unrelentingly energetic orphan struggle make best life street milan
ball of fire,group professor working new encyclopedia encounter mouthy nightclub singer wanted police help bring mob bos lover
mississippi masala,year indian family forced flee home uganda dictatorship idi amin twentysomething mina sarita choudhury find helping run motel faraway land mississippi passionate romance charming black carpet cleaner demetrius denzel washington challenge prejudice conservative family expose rift region indian african american community
much ado about nothing,shakespeare classic comedy given contemporary spin director joss whedon shot day story sparring lover beatrice benedick offer dark sexy occasionally absurd view intricate game love matchmaking scheme put play disguise donned loathing love soon prove close cousin lionsgate
scum,uncompromising story life british juvenile offender institution
the breadwinner,parvana year old girl growing taliban afghanistan father wrongfully arrested parvana cut hair dress like boy order support family working alongside friend shauzia parvana discovers new world freedom danger undaunted courage parvana draw strength fantastical story invents embarks quest find father reunite family
ruthless people,couple cheated vile businessman kidnap wife retaliation without knowing enemy delighted
up and down,dead night near czech slovak border two smuggler discover truckload illegal indian immigrant left baby behind sony picture classic
lost in america,husband wife decide quit job live free spirit cruise america winnebago
endless poetry,alejandro jodorowsky autobiographical lens endless poetry narrates year chilean artist youth liberated former limitation family introduced foremost bohemian artistic circle chile met enrique lihn stella diaz varin nicanor parra time promising young unknown artist would later become titan twentieth century hispanic literature grew inspired beauty existence alongside being exploring life together authentically freely tribute chile artistic heritage endless poetry also ode quest beauty inner truth universal force capable changing one life forever written man dedicated life career creating spiritual artistic awareness across globe
spontaneous,student high school begin inexplicably exploding literally senior mara katherine langford dylan charlie plummer struggle survive world moment may last unexpected romance blossom mara dylan discover tomorrow longer promised finally start living today
did you wonder who fired the gun?,great grandfather murdered black man named bill spann got away begin wonder fired gun filmmaker travis wilkerson critically acclaimed investigation murder family history societal more allowed happen wilkerson tell frightening troubling story incorporating scene kill mockingbird music janelle mon e phil ochs dogged search truth one unearths long buried secret destroyed record real threat violence
beach rats,outskirt brooklyn frankie aimless teenager suffocates oppressive glare cast family toxic group delinquent friend struggling identity frankie begin scour hookup site older men chatting webcamming intensify begin meeting men nearby cruising beach simultaneously entering cautious relationship young woman frankie struggle reconcile competing desire decision leave hurtling toward irreparable consequence neon
enchanted april,slow paced gem civilizing influence italy beleaguered londoner male female civilizing influence viewer almost like taking little mini trip italy gorgeously filmed enchantment
the last mistress,last mistress mark monumental pairing cinema premiere provocateur director catherine breillat fearless explosive actor generation asia argento penniless rogue ryno de marigny shock th century france engagement virginal gem aristocracy hermangarde lurid speculation ryno ten year affair carnal vellini manifest supremely erotic wickedly humorous depiction human lust revealed overriding brittle facade nobility reverence bolstered breillat mastery medium argento commanding performance last mistress highly entertaining yet incredibly provocative film resulted unanimous praise audience critic across world ifc film
barbarian,town job interview young woman arrives airbnb late night find rental mistakenly double booked strange man already staying better judgement decides stay night anyway soon discovers much afraid house house guest
live-in maid,dora maid mr beba worked lived year beba used well socialite successive economic personal crisis worn reducing purveyor decadence nowadays find forced sell door door beauty product owes dora six month salary dora tired listening beba promise payment determined resign beba asks time get money together dora accepts period beba try mine confidence dora discouraging venture new phase life though doomed class prejudice abusive power code also bond cemented mutual love three decade living together finally beba get money cancel debt offer cash advance make maid stay dora already made mind aqua film
the saddest music in the world,winnipeg great depression full bloom beer baroness lady port huntly rossellini announces global competition determine saddest music world musician across globe pour town vie whopping prize part musical melodrama part tongue cheek social satire guy maddin expressionistic film achieves level lunacy rarely seen since marx brother ifc film
lone star,unearthing human bone rusty sheriff badge rifle range texas border town resurrects painful memory young lawman cooper drawing intricate fascingatingly woven web ethical familial intercultural conflict
thief,becoming closer dream leading normal life professional safecracker agrees job mafia plan
two for the road,couple south france non sequentially spin highway infidelity troubled ten year marriage
tracks,robyn davidson mia wasikowska trek mile across western australia desert four camel faithful dog
the princess of montpensier,princess montpensier acclaimed filmmaker bertrand tavernier directs spectacular cast riveting lush romantic drama set high court th century france backdrop savage catholic protestant war marie de zi re beautiful young aristocrat find married young prince love haunted rakish suitor gaspard ulliel childhood advised aging nobleman lambert wilson harboring forbidden desire princess montpensier must struggle passionately stay alive intrigue corrupt political romantic web duty passion religion war ifc film
the social dilemma,technology wizard masterminded new form capitalism humanity raw resource feeding machine powerful hidden artificial intelligence tasked hijacking attention tearing apart social norm jeopardizing truth democracy putting civilization programmed path toward self destruction set dark underbelly silicon valley social dilemma fuse investigative documentary enlightening narrative drama think inconvenient truth meet matrix expert testimony tech whistle blower expose disturbing predicament service big tech provides search engine network instant information et cetera merely candy lure u bite hooked coming back real commodity sell prowess influence manipulate u
the fearless freaks,documentary offer intimate look one today acclaimed alternative rock group flaming lip shout factory
the buddy holly story,story life career early rock roll singer meteoric rise stardom marriage untimely death
we're all going to the world's fair,late cold night somewhere u teenage casey sits alone attic bedroom scrolling internet glow dark star black light poster blanket ceiling finally decided take world fair challenge online role playing horror game embrace uncertainty promise initiation document change may may happening adding experience shuffle online clip available world see begin lose dream reality mysterious figure reach claiming see something special uploads
magnolia,one random day san fernando valley dying father young wife male caretaker famous lost son police officer love boy genius ex boy genius game show host estranged daughter become part dazzling multiplicity plot one story new line cinema
i'm thinking of ending things,despite second thought relationship young woman jessie buckley take road trip new boyfriend jesse plemons family farm trapped farm snowstorm jake mother toni collette father david thewlis young woman begin question nature everything knew understood boyfriend world
john wick: chapter 4,john wick keanu reef uncovers path defeating high table earn freedom wick must face new enemy powerful alliance across globe force turn old friend foe
tempestad,two woman voyage two voice like reflection single echo convey fear mean life human highway landscape gaze mexico north south era violence taken control life desire dream emotional evocative journey steeped loss pain also love dignity resistance
barbarosa,young cowboy hook legendary outlaw long run law
the case against 8,case take riveting inside look groundbreaking supreme court case overturned proposition california ban sex marriage five year making exclusive behind scene access powerhouse legal team ted olson david boy previously faced opposing counsel bush v gore along four plaintiff suit film provides definitive account battle effectively ended marriage discrimination california
the human factor,unprecedented access foremost american negotiator human factor behind scene story last year united state came within reach pulling impossible securing peace israel neighbor today need learn past mistake urgent
only you,elena jake meet chance new year eve arguing taxi however instead going separate way sharing taxi start passionate relationship
the devil came on horseback,devil came horseback expose tragedy taking place darfur seen eye american witness since returned u take action stop using exclusive photograph first hand testimony former u marine captain briahn steidle devil come horseback take viewer emotionally charged journey heart darfur sudan arab run government systematically executing plan rid province black african citizen official military observer steidle access part country journalist could penetrate unprepared would witness experience including fired upon taken hostage unable intervene save life young child ultimately frustrated inaction international community steidle resigned returned u expose image story life systematically destroyed break thru film
1917,height first world war two young british soldier schofield george mackay blake dean charles chapman given seemingly impossible mission race time must cross enemy territory deliver message stop deadly attack hundred soldier blake brother among
a simple life,since teenage year chung chun tao worked amah servant leung family known ah tao witnessed every aspect family life year service looking roger work film industry member family still resident hong kong one day roger come home work find ah tao suffered stroke rush hospital announces want quit job move anursing home roger research possibility find room establishment run old friend ah tao move begin acquainting new family brisk fundamentally kindly supervisor m choi motley crew elderly resident including dapper uncle kin jealous auntie kam erudite headmaster good hearted dialysis patient mui gu giving ever time attention ah tao need pleasure roger come realise much mean roger mother visit california suggests reclaiming apartment building family owns provide ah tao final home ah tao health begin deteriorate rapidly china lion film distribution
kedi,hundred thousand turkish cat roam metropolis istanbul freely thousand year wandered people life becoming essential part community make city rich claiming owner cat istanbul live two world neither wild tame bring joy purpose people choose adopt istanbul cat mirror people allowing reflect life way nothing else could
love exposure,yu son widower turned priest affair one follower affair end priest begin pressuring son seek absolution sin pressure confess father becomes demanding yu commit new sin material lead yu find porn stardom meet man hating virgin dream
goldstone,trail missing person troubled indigenous detective jay swan aaron pedersen find small mining town goldstone arrested drunk driving local cop josh alex russell jay motel room blasted gun fire becomes clear something larger play struggling overcome mutual distrust jay josh uncover web crime corruption lead directly town cold blooded mayor jacki weaver smarmy gold mine director david wenham
waste land,filmed nearly three year waste land follows renowned artist vik muniz journey home base brooklyn native brazil world largest garbage dump jardim gramacho located outskirt rio de janeiro photograph eclectic band catadores self designated picker recyclable material muniz initial objective paint catadores garbage however collaboration inspiring character recreate photographic image garbage reveals dignity despair catadores begin imagine life walker great access entire process end offer stirring evidence transformative power art alchemy human spirit arthouse film
hitler's hollywood,filmmaker r diger suchsland suggests third reich essentially immersive movie starring german nation produced directed propaganda minister joseph goebbels hitler hollywood collage key film feature nazi produced musical melodrama romance costume drama war film real war got tough insanely lavish top fantasy german folk portrayed happy sporty life exaggerated cheerfulness conversely full morbid yearning death would serve fatherland hannah arendt give perspective context one chief characteristic modern mass trust eye ear imagination convinces mass fact even invented fact consistency illusion frightening insight could easily apply american political landscape today narrated udo kier film forum
gaslight,year aunt murdered home young woman move back house new husband however secret anything protect even mean driving wife insane
son frère,thomas luc brother thomas straight luc gay unable accept brother homosexuality thomas distance thomas contract terminal illness intrudes luc contented life asks caretaker strand releasing
morvern callar,aimless supermarket clerk morton small scottish town get new lease life upon discovering boyfriend dead christmas tree
murderous maids,true story sensational crime french history rialto picture
last orders,group friend gather mourn death friend carry last wish embark journey take ash london sea
ça commence aujourd'hui,kindergarten teacher torreton small french town face fallout result local coal mine area major employer must close
"mr. death: the rise and fall of fred a. leuchter, jr.",tale ignorance self deception vanity documentarian errol morris sews together patchwork diverse viewpoint seek uncover central mystery behind fred leuchter motivation lion gate film
afghan star,year taliban wartime rule pop culture creeping back afghanistan form afghan star enormously popular american idol type contest filmmaker havana marking follows dramatic story four contestant three month regional audition final kabul giving u new human look troubled part world zeitgeist film
tropical malady,lyrical mysterious new film maverick thai director apichatpong weerasethaku chronicle mystical love affair young soldier country boy seduces soon disrupted boy sudden disappearance strand releasing
logan lucky,trying reverse family curse brother jimmy channing tatum clyde logan adam driver set execute elaborate robbery legendary coca cola race charlotte motor speedway
paradise: hope,third installment ulrich seidl paradise trilogy paradise hope tell story overweight year old melanie first love mother travel kenya paradise love aunt paradise faith missionary work melanie spends summer vacation strict diet camp overweight teenager physical education nutrition counseling pillow fight first cigarette melanie fall love camp director doctor year senior doctor struggle guilty nature desire melanie imagined paradise differently strand releasing
the aura,first ever hunting trip calm patagonian forest shy epileptic taxidermist secretly dream executing perfect robbery stumble upon opportunity make dream come true ifc first take film
james and the giant peach,daring rescue spider young boy named james find gain possession magic crocodile tongue james spill garden sprout enormous peach climbing inside meet astonishing cast character embarks magical odyssey full thrill adventure disney
high life,monte robert pattinson baby daughter last survivor damned dangerous mission deep space crew death row inmate led doctor juliette binoche sinister motif vanished mystery happened onboard ship unraveled father daughter must rely survive hurtle toward oblivion black hole
alice doesn't live here anymore,recently widowed woman road precocious young son determined make new life singer ellen burstyn best actress oscar performance memorable comedy drama widowed mother suddenly forced take charge life director martin scorcese guide wonderful cast including young future academy award winner jodie foster singer actor kris kristofferson harvey keitel oscar nominee diane ladd early portion film alice work waitress diner owned mel vic tayback scene served springboard popular seventy tv sit com alice
dazed and confused,period ensemble piece group texas teenager last day high school night follows
missing,idealistic american writer disappears chilean coup tat september wife father try find
the betrayal - nerakhoon,shot course year thavi narrates story child surviving vietnam war young man struggling overcome hardship immigrant life experience shared mother war breathtaking compelling renowned cinematographer ellen kura film poetic deeply personal film powerfully eloquent tribute mean exile far reaching consequence war resilient bond family thavisouk unforgettable journey reminds u strength necessary survive human spirit inspiring capacity adapt rebuild forgive celluloid dream
the bee gees: how can you mend a broken heart,bee gee mend broken heart chronicle triumph hurdle brother barry maurice robin gibb otherwise known bee gee iconic trio found early fame went write song hit throughout career transcending five decade changing taste style
2046,picking mood love left visually seductive reverie memory regret refracted serial womanizer experience six woman sony picture classic
a quiet passion,story american poet emily dickinson early day young schoolgirl later year reclusive unrecognized artist
my darling vivian,story vivian liberto johnny cash first wife mother four daughter
nothing sacred,eccentric woman learns dying radium poisoning earlier assumed meet reporter looking story feigns sickness profit
a man of integrity,somewhere remote village northern iran reza distanced urban quagmire lead simple life along wife son spends day working gold fish farm nearby private company close link government local authority taken control nearly every aspect region shareholder accumulating wealth power economic rent pushing local farmer small owner dilapidated farm estate benefit company influential network monopoly pressure many villager become local ring larger network corruption
tickling giants,midst egyptian arab spring bassem youssef make decision every mother worst nightmare leaf job heart surgeon become full time comedian dubbed egyptian jon stewart bassem creates satirical show al bernameg weekly program quickly becomes viewed television program middle east million viewer per episode daily show jon stewart averaged two million viewer country free speech settled law bassem show becomes controversial popular staff must endure physical threat protest legal action joke bassem attempt remain air keep staff safe get arrested continues let power know held accountable despite increasing danger team al bernameg employ comedy violence comment hypocrisy medium politics religion tickling giant follows team al bernameg discover democracy easily young woman men working bassem show fearless revolutionary happen really really funny unicorn falafel harmed making film
abortion: stories women tell,u supreme court decision roe v wade recognized right every woman united state abortion since half state nation significantly restricted access abortion abortion remains one divisive issue america especially missouri one abortion clinic remains open patient doctor must navigate hour waiting period year see restriction awarding winning director missouri native tracy droz tragos shed new light contentious issue focus debate rather woman struggling unplanned pregnancy provider show clinic give medical care well activist side issue hoping sway decision life abortion story woman tell offer intimate window life woman personal story heartbreaking tender bleak frightening woman side issue find choice easy make due circumstance belief others simply inform u strength capacity woman overcome persevere complicated unexpected circumstance hbo
pusher ii: with blood on my hands,pusher ii tell story tonny crook copenhagen underworld whose previous run baseball bat left mind addled unreliable released prison tonny try bring order life gain respect father duke notorious gangster appears nothing contempt son tonny soon learns nothing new life come easy trying repay debt held prison make misstep misstep running afoul duke top tonny must contribute upbringing baby boy may may battling scorn around well drug fueled delirium tonny must forge path toward form redemption perish attempt magnolia picture
