movie_name,summary
gravity,dr ryan stone sandra bullock brilliant medical engineer first shuttle mission veteran astronaut matt kowalsky george clooney command last flight retiring seemingly routine spacewalk disaster strike shuttle destroyed leaving stone kowalsky completely alone tethered nothing spiraling blackness deafening silence tell lost link earth chance rescue fear turn panic every gulp air eats away little oxygen left way home may go terrifying expanse space
fantasia,collection animated interpretation great work western classical music
beauty and the beast,tale old time follows adventure belle bright young woman find imprisoned castle mysterious beast assistance castle enchanted staff delightful tender romance develops two unlikely friend belle soon learns important lesson true beauty come within
small axe: lovers rock,single evening house party west london set scene developing intertwined relationship background violence romance music
the bride of frankenstein,mary shelley reveals main character novel survived dr frankenstein goaded even madder scientist build monster mate
don't look now,married couple grieving recent death young daughter venice encounter two elderly sister one psychic brings warning beyond
the social network,fall night harvard undergrad computer programming genius mark zuckerberg jesse eisenberg sits computer heatedly begin working new idea fury blogging programming begin dorm room soon becomes global social network revolution communication mere six year million friend later mark zuckerberg youngest billionaire history entrepreneur success lead personal legal complication columbia picture
my fair lady,snobbish phonetics professor agrees wager take flower girl make presentable high society
portrait of a lady on fire,france marianne commissioned paint wedding portrait h lo se young woman left convent reluctant bride marianne arrives guise companionship observing h lo se day secretly painting firelight night two woman orbit one another intimacy attraction grow share h lo se first moment freedom h lo se portrait soon becomes collaborative act testament love
i am not your negro,director raoul peck envisions book james baldwin never finished radical narration race america using writer original word draw upon james baldwin note life assassination medgar evers malcolm x martin luther king jr explore bring fresh radical perspective current racial narrative america magnolia picture
woodstock,happened small farm upstate new york three remarkable day mud happiness half million people came together celebrate life love music woodstock one camera crew middle everything recording live performance many greatest singer musician era joy peace rock n roll experienced hundred thousand
past lives,nora greta lee hae sung teo yoo two deeply connected childhood friend wrested apart nora family emigrates south korea two decade later reunited new york one fateful week confront notion destiny love choice make life
aftersun,sophie reflects shared joy private melancholy holiday took father twenty year earlier memory real imagined fill gap minidv footage try reconcile father knew man
rocks,teenage girl suddenly find struggling take care younger brother
amour,george anne eighty cultivated retired music teacher daughter also musician life abroad family one day anne attack couple bond love severely tested sony picture classic
the hurt locker,new sergeant james jeremy renner take highly trained bomb disposal team amidst violent conflict surprise two subordinate sanborn anthony mackie eldridge brian geraghty recklessly plunging deadly game urban combat james behaves indifferent death men struggle control wild new leader city explodes chaos james true character reveals way change man forever summit entertainment
anatomy of a murder,murder trial defendant say suffered temporary insanity victim raped wife truth win case
zero dark thirty,decade elite team intelligence military operative working secret across globe devoted single goal find eliminate osama bin laden columbia picture
collective,collective follows heroic team journalist uncover shocking widespread corruption deadly nightclub fire mysterious death owner powerful pharmaceutical firm quiet resignation health minister seemingly unrelated event within week team intrepid reporter expose much larger much explosive political scandal collective fast paced real time detective story truth accountability value independent press partisan time
a separation,set contemporary iran separation compelling drama dissolution marriage simin want leave iran husband nader daughter termeh simin sue divorce nader refuse leave behind alzheimer suffering father request failed simin return parent home termeh decides stay nader nader hire young woman assist father wife absence hope life return normal state however discovers new maid lying realizes line marriage sony picture classic
double indemnity,insurance representative let talked murder insurance fraud scheme arouses insurance investigator suspicion
sunrise,sophisticated urban woman seduces farmer hope murder neglected wife join city end rekindling romance wife discovers scheme
schindler's list,steven spielberg epic drama tell compelling true story german businessman oskar schindler neeson come nazi occupied poland looking economic prosperity leaf savior history film
pulp fiction,several inter locking story crime intrigue form temporal mosaic set los angeles underworld
wall-e,hundred lonely year built wall e discovers new purpose life meet sleek search robot named eve walt disney picture
carol,set new york two woman different background find throe love young woman therese belivet rooney mara clerk working manhattan department store dreaming fulfilling life meet carol cate blanchett alluring woman trapped loveless convenient marriage immediate connection spark innocence first encounter dims connection deepens carol break free confines marriage husband kyle chandler threatens competence mother carol involvement therese close relationship best friend abby sarah paulson come light carol leaf comfort home travel therese internal journey self discovery coincides new sense space twc
before midnight,follow sunrise sunset meet jesse celine nine year later greece almost two decade passed since first meeting train bound vienna
amazing grace,documentary presenting aretha franklin choir new bethel baptist church watt los angeles january
dunkirk,dunkirk open hundred thousand british allied troop surrounded enemy force trapped beach back sea face impossible situation enemy close warner bros
the man who shot liberty valance,senator became famous killing notorious outlaw return funeral old friend tell truth deed
the searchers,american civil war veteran embarks journey rescue niece comanche
45 years,one week kate mercer charlotte rampling th wedding anniversary planning party going well letter arrives husband tom courtenay body first love discovered frozen preserved icy glacier swiss alp time party upon five day later may marriage left celebrate ifc film
taxi driver,scorsese masterpiece real story psychotic new york cabby driven violence attempt rescue teenage prostitute sony
the servant,servant look decaying british class system relationship aristocrat scheming butler
yi yi,film portrays life portrait individual member taiwanese family representing stage birth death winstar cinema
the manchurian candidate,john frankenheimer gripping political thriller group american soldier captured brainwashed becoming sleeper agent mgm
the lord of the rings: the return of the king,sauron force laid siege mina tirith capital gondor effort eliminate race men great kingdom watched fading steward never desperate need king aragorn viggo mortensen answer call heritage become born small measure fate middle earth rest broad shoulder new line cinema
call me by your name,summer north italy elio perlman timothe e chalamet precocious year old american italian spends day family th century villa transcribing playing classical music reading flirting friend marzia esther garrel elio enjoys close relationship father michael stuhlbarg eminent professor specializing greco roman culture mother annella amira casar translator favor fruit high culture setting overflow natural delight elio sophistication intellectual gift suggest already fully fledged adult much yet remains innocent unformed particularly matter heart one day oliver armie hammer charming american scholar working doctorate arrives annual summer intern tasked helping elio father amid sun drenched splendor setting elio oliver discover heady beauty awakening desire course summer alter life forever
carlos,carlos tell story ilich ramirez sanchez two decade one wanted terrorist planet lived several life various pseudonym weaving way complexity international politics period ifc film
marriage story,incisive compassionate portrait marriage breaking family staying together
the french connection,new york narcotic officer popeye doyle partner take international drug ring shipping heroin united state
la la land,mia emma stone aspiring actress serf latte movie star audition sebastian ryan gosling dedicated jazz musician scrape playing cocktail piano gig dingy bar success mount faced decision begin fray fragile fabric love affair dream worked hard maintain threaten rip apart
"jeanne dielman, 23, quai du commerce, 1080 bruxelles",lonely widowed housewife daily chore take care apartment life teenage son turn occasional trick make end meet however something happens change safe routine
petite maman,nelly lost grandmother helping parent clean mother childhood home explores house surrounding wood one day meet girl age building treehouse
lady bird,christine lady bird mcpherson saoirse ronan fight exactly like wildly loving deeply opinionated strong willed mom laurie metcalf nurse working tirelessly keep family afloat lady bird father tracy letts loses job set sacramento california amidst rapidly shifting american economic landscape lady bird affecting look relationship shape u belief define u unmatched beauty place called home
rio bravo,small town sheriff american west enlists help cripple drunk young gunfighter effort hold jail brother local bad guy
the magnificent ambersons,spoiled young heir decaying amberson fortune come widowed mother man always loved
reversal of fortune,jeremy iron play socialite claus von bulow seeking legal exoneration sensational attempted murder scandal warner bros
david byrnes american utopia,david byrne american utopia brings critically acclaimed broadway show hbo one kind film directed spike lee recorded run broadway hudson theatre new york city david byrne joined ensemble musician singer dancer around globe inviting audience joyous dreamworld human connection self evolution social justice paramount
shoplifters,one shoplifting session osamu son come across little girl freezing cold first reluctant shelter girl osamu wife agrees take care learning hardship face although family poor barely making enough money survive petty crime seem live happily together unforeseen incident reveals hidden secret testing bond unite
shoah: four sisters,starting claude lanzmann made several film could considered satellite shoah comprised interview conducted make final monumental work last year late director life decided devote film four woman four different area eastern europe four different destiny finding improbably alive war end ruth elia ostravia czechoslovakia paula biren lodz poland ada lichtman south krakow hannah marton cluj kolozsv r transylvania survivor unimaginable nazi horror holocaust tell individual story become crucial witness barbarism experienced possesses vivid intelligence commitment candor make account suffered searing unforgettable four sister arrives screen remind audience immense courage took witness return past share deeply moving personal tragedy frankness word intensely scrutinized face bravery revisit unimaginable experience make lasting presence moral universe younger generation cohen medium group
the 39 steps,man london try help counter espionage agent agent killed man stand accused must go run save stop spy ring trying steal top secret information
duck soup,rufus firefly named president dictator bankrupt freedonia declares war neighboring sylvania love wealthy mr teasdale
days of heaven,one critically acclaimed film time day heaven moving story two men love woman fugitive slum chicago find pitted shy rich texan love abby writer director malick film extraordinary cinematic achievement sight sound paramount picture
toni erdmann,winfried peter simonischek see much working daughter ines sandra h ller suddenly student less music teacher decides surprise visit death old dog awkward move serious career woman ines working important project corporate strategist bucharest geographical change help two see eye eye practical joker winfried love annoy daughter corny prank worse little jab routine lifestyle long meeting hotel bar performance report father daughter reach impasse winfried agrees return home germany enter flashy toni erdmann winfried smooth talking alter ego disguised tacky suit weird wig even weirder fake teeth toni barge ines professional life claiming ceo life coach toni winfried bolder hold back ines meet challenge harder push closer become madness ines begin understand eccentric father might deserve place life sony picture classic
mccabe & mrs. miller,gambler prostitute become business partner remote old west mining town enterprise thrives large corporation arrives scene
inside llewyn davis,llewyn davis crossroad guitar tow huddled unforgiving new york winter struggle make musician seemingly insurmountable obstacle making
the best years of our lives,three world war ii veteran return home small town america discover family irreparably changed
stagecoach,group people traveling stagecoach find journey complicated threat geronimo learn something process
sherpa,fight everest seemed incredible news channel around world reported ugly brawl ft european climber fled mob angry sherpa new zealander edmund hillary sherpa tenzing norgay reached summit spirit co operation brave optimism climber sherpa trading insult even blow happened happy smiling sherpa dedication getting foreigner top mountain hold sacred determined explore going filmmaker set make film everest climbing season sherpa point view instead captured tragedy would change everest forever th april million ton block ice crashed onto climbing route khumbu icefall killing sherpa worst tragedy history everest disaster provoked drastic reappraisal role sherpa everest industry
there will be blood,daniel plainview get mysterious tip little town west ocean oil oozing ground head son h w take chance dust worn little boston hardscrabble town main excitement center around holy roller church charismatic preacher eli sunday plainview h w make lucky strike even well raise fortune nothing remain conflict escalate every human value love hope community belief ambition even bond father son imperiled corruption deception flow oil paramount vantage
badlands,loosely based starkweather fugate killing spree terrence malick debut feature follows outlaw kit holly fort dupre south dakota badlands montana
the last picture show,group high schoolers come age bleak isolated atrophied west texas town slowly dying culturally economically
do the right thing,set hottest day summer film examines various personal social economic issue eye ensemble neighborhood character bedford stuyvesant block brooklyn
sita sings the blues,sita goddess separated beloved lord husband rama nina animator whose husband move india dump email three hilarious shadow puppet narrate ancient tragedy modern comedy beautifully animated interpretation indian epic ramayana set jazz vocal annette hanshaw sita sings blue earns tagline greatest break story ever told
the decline of western civilization,los angeles punk music scene circa focus film alice bag band black flag catholic discipline circle jerk fear germ x
yojimbo,crafty ronin come town divided two criminal gang decides play free town
brother's keeper,documentary joe berlinger bruce sinofsky detail murder trial delbert ward delbert family brother roscoe lyman william bill short working semi literate farmer living together isolation ramshackle shack william death subsequent police investigation medical examiner autopsy suggested bill may died natural cause delbert arrested charge second degree murder questioning police delbert appears waived right signed confession seems might competent coerced film explores possible motif crime mercy killing bill ill time progressively outr hypothesis also show resident rural community munnsville ny rallied support one resident previously considered ward social outcast felt intrusive big city police district attorney involved election might used death help bolster candidacy
sankofa,mona oyafunmike ogunlano black american fashion model photo shoot cape coast ghana mr gerima imaginative storytelling undergoes journey back time plantation north america becomes shola enslaved african woman labor master house experience horror slavery firsthand becoming shola mona recovers confronts ancestral identity experience enduring monstrous trauma hand white men owned people profit shola interaction fellow enslaved african rich humanity respect dignity one another notably connects shango mutabaruka rebellious african man toil field nunu alexandra duah one enslaved remember life africa stolen terrorized european trader array
crumb,documentary artist robert crumb life
8½,harried movie director retreat memory fantasy
spotlight,spotlight tell riveting true story pulitzer prize winning boston globe investigation would rock city cause crisis one world oldest trusted institution newspaper tenacious spotlight team reporter delve allegation abuse catholic church year long investigation uncovers decade long cover highest level boston religious legal government establishment touching wave revelation around world open road film
the band wagon,pretentiously artistic director hired new broadway musical change beyond recognition
late spring,several people try talk year old noriko marrying want keep caring widowed father
one more time with feeling,unique one night cinema event directed andrew dominik one time feeling first ever opportunity anyone hear skeleton tree sixteenth studio album nick cave bad seed film screen cinema across world th september immediately prior release skeleton tree following day originally performance based concept one time feeling evolved something much significant dominik delved tragic backdrop writing recording album interwoven throughout bad seed filmed performance new album interview footage shot dominik accompanied cave narration improvised rumination
ride the high country,ex union soldier hired transport gold mining community dangerous territory realize partner old friend plotting double cross
the diving bell and the butterfly,diving bell butterfly remarkable true story jean dominique bauby successful charismatic editor chief french elle belief living life absolute fullest sudden stroke leaf life altered state physical challenge bauby fate leave little hope future begin discover life passion rich memory newfound imagination help achieve life without boundary miramax film
invasion of the body snatchers,small town doctor learns population community replaced emotionless alien duplicate
