movie_name,n_total,n_pos,n_neu,n_neg,pos_rate,avg_rating
5050,1,0,0,0,0.0,0.5
52 pickup,1,0,0,0,0.0,0.5
52 tuesdays,1,0,0,0,0.0,0.5
54,1,0,0,0,0.0,0.5
56 up,1,0,0,0,0.0,0.5
5x2,1,0,0,0,0.0,0.5
6 balloons,1,0,0,0,0.0,0.5
6 days,1,0,0,0,0.0,0.5
6 month rule,1,0,0,0,0.0,0.5
6 souls,1,0,0,0,0.0,0.5
6 underground,1,0,0,0,0.0,0.5
65,1,0,0,0,0.0,0.5
69 the saga of danny hernandez,1,0,0,0,0.0,0.5
7 boxes,1,0,0,0,0.0,0.5
7 chinese brothers,1,0,0,0,0.0,0.5
7 days,1,0,0,0,0.0,0.5
7 days in entebbe,1,0,0,0,0.0,0.5
7 days in september,1,0,0,0,0.0,0.5
7 minutes,1,0,0,0,0.0,0.5
7 prisoners,1,0,0,0,0.0,0.5
71 fragments of a chronology of chance,1,0,0,0,0.0,0.5
7500,1,0,0,0,0.0,0.5
76 days,1,0,0,0,0.0,0.5
7852 hitchcocks shower scene,1,0,0,0,0.0,0.5
8 million ways to die,1,0,0,0,0.0,0.5
8 the mormon proposition,1,0,0,0,0.0,0.5
8 ½ women,1,0,0,0,0.0,0.5
80 for brady,1,0,0,0,0.0,0.5
800 bullets,1,0,0,0,0.0,0.5
88 minutes,1,0,0,0,0.0,0.5
8½,1,0,0,0,0.0,0.5
8â½,1,0,0,1,0.0,0.1
9,1,0,0,0,0.0,0.5
9 dead gay guys,1,0,0,0,0.0,0.5
9 songs,1,0,0,0,0.0,0.5
9 to 5,1,0,0,0,0.0,0.5
90 minutes in heaven,1,0,0,0,0.0,0.5
95 miles to go,1,0,0,0,0.0,0.5
96 minutes,1,0,0,0,0.0,0.5
99 homes,1,0,0,0,0.0,0.5
99 the occupy wall street collaborative film,1,0,0,0,0.0,0.5
a bad moms christmas,1,0,0,0,0.0,0.5
a bag of hammers,1,0,0,0,0.0,0.5
a bag of marbles,1,0,0,0,0.0,0.5
a band called death,1,0,0,0,0.0,0.5
a banquet,1,0,0,0,0.0,0.5
a beautiful day in the neighborhood,1,0,0,0,0.0,0.5
a beautiful life,1,0,0,0,0.0,0.5
a beautiful mind,1,0,0,0,0.0,0.5
a better life,1,0,0,0,0.0,0.5
a better tomorrow,1,0,0,0,0.0,0.5
a bigger splash,1,0,0,0,0.0,0.5
a birders guide to everything,1,0,0,0,0.0,0.5
a borrowed identity,1,0,0,0,0.0,0.5
a bottle in the gaza sea une bouteille à la mer,1,0,0,0,0.0,0.5
a boy and his dog,1,0,0,0,0.0,0.5
a boy called christmas,1,0,0,0,0.0,0.5
a brave heart the lizzie velasquez story,1,0,0,0,0.0,0.5
a bread factory part one for the sake of gold,1,0,0,0,0.0,0.5
a bread factory part two walk with me a while,1,0,0,0,0.0,0.5
a bridge too far,1,0,0,0,0.0,0.5
a brief history of time,1,0,0,0,0.0,0.5
a bronx tale,1,0,0,0,0.0,0.5
a bugs life,1,0,0,0,0.0,0.5
a case of you,1,0,0,0,0.0,0.5
a chiara,1,0,0,0,0.0,0.5
a chorus line,1,0,0,0,0.0,0.5
a christmas carol,1,0,0,0,0.0,0.5
a christmas story christmas,1,0,0,0,0.0,0.5
a christmas tale,1,0,0,0,0.0,0.5
a ciambra,1,0,0,0,0.0,0.5
a cinderella story,1,0,0,0,0.0,0.5
a civil action,1,0,0,0,0.0,0.5
a clockwork orange,3,2,0,0,0.6666666666666666,0.95
a coffee in berlin,1,0,0,0,0.0,0.5
a compassionate spy,1,0,0,0,0.0,0.5
a cop movie,1,0,0,0,0.0,0.5
a couple,1,0,0,0,0.0,0.5
a crooked somebody,1,0,0,0,0.0,0.5
a cure for wellness,1,0,0,0,0.0,0.5
a dangerous method,1,0,0,0,0.0,0.5
a day without a mexican,1,0,0,0,0.0,0.5
a decent factory,1,0,0,0,0.0,0.5
a dogs journey,1,0,0,0,0.0,0.5
a dogs purpose,1,0,0,0,0.0,0.5
a dogs way home,1,0,0,0,0.0,0.5
a dogâs will,1,1,0,0,1.0,0.9
a dry white season,1,0,0,0,0.0,0.5
a face in the crowd,1,0,0,0,0.0,0.5
a faithful man,1,0,0,0,0.0,0.5
a fall from grace,1,0,0,0,0.0,0.5
a family affair,2,0,0,0,0.0,0.5
a family man,1,0,0,0,0.0,0.5
a family thing,1,0,0,0,0.0,0.5
a fantastic woman,1,0,0,0,0.0,0.5
a few good men,1,1,0,0,1.0,0.8
a film unfinished,1,0,0,0,0.0,0.5
a fine mess,1,0,0,0,0.0,0.5
a fish called wanda,1,0,0,0,0.0,0.5
a fistful of dollars,1,0,0,0,0.0,0.5
a five star life,1,0,0,0,0.0,0.5
a foreign affair,1,0,0,0,0.0,0.5
a fragile trust,1,0,0,0,0.0,0.5
a futile and stupid gesture,1,0,0,0,0.0,0.5
a gay girl in damascus the amina profile,1,0,0,0,0.0,0.5
a gentle creature,1,0,0,0,0.0,0.5
a ghost story,3,3,0,0,1.0,0.9333333333333333
a girl like her,1,0,0,0,0.0,0.5
a girl walks home alone at night,1,0,0,0,0.0,0.5
a glimpse inside the mind of charles swan iii,1,0,0,0,0.0,0.5
a glitch in the matrix,1,0,0,0,0.0,0.5
a good man in africa,1,0,0,0,0.0,0.5
a good old fashioned orgy,1,0,0,0,0.0,0.5
a good woman,1,0,0,0,0.0,0.5
a good woman is hard to find,1,0,0,0,0.0,0.5
a goofy movie,1,1,0,0,1.0,1.0
a gray state,1,0,0,0,0.0,0.5
a guide to recognizing your saints,1,0,0,0,0.0,0.5
a happening of monumental proportions,1,0,0,0,0.0,0.5
a hard day,1,0,0,0,0.0,0.5
a haunted house,1,0,0,0,0.0,0.5
a haunted house 2,1,0,0,0,0.0,0.5
a hero,1,0,0,0,0.0,0.5
a hidden life,1,0,0,0,0.0,0.5
a history of violence,1,0,0,0,0.0,0.5
a hole in my heart,1,0,0,0,0.0,0.5
a hole in one,1,0,0,0,0.0,0.5
a hologram for the king,1,0,0,0,0.0,0.5
a home at the end of the world,1,0,0,0,0.0,0.5
a house on a hill,1,0,0,0,0.0,0.5
a housekeeper,1,0,0,0,0.0,0.5
a jihad for love,1,0,0,0,0.0,0.5
a journal for jordan,1,0,0,0,0.0,0.5
a kid in king arthurs court,1,0,0,0,0.0,0.5
a kid like jake,1,0,0,0,0.0,0.5
a kind of murder,1,0,0,0,0.0,0.5
a kiss before dying,1,0,0,0,0.0,0.5
a land imagined,1,0,0,0,0.0,0.5
a late quartet,1,0,0,0,0.0,0.5
a league of ordinary gentlemen,1,0,0,0,0.0,0.5
a league of their own,1,0,0,0,0.0,0.5
a lego brickumentary,1,0,0,0,0.0,0.5
a letter to momo,1,0,0,0,0.0,0.5
a letter to true,1,0,0,0,0.0,0.5
a liars autobiography  the untrue story of monty pythons graham chapman,1,0,0,0,0.0,0.5
a little bit of heaven,1,0,0,0,0.0,0.5
a little chaos,1,0,0,0,0.0,0.5
a little help,1,0,0,0,0.0,0.5
a little princess,1,0,0,0,0.0,0.5
a little white lie,1,0,0,0,0.0,0.5
a lot like love,1,0,0,0,0.0,0.5
a lot of nothing,1,0,0,0,0.0,0.5
a love affair of sorts,1,0,0,0,0.0,0.5
a love divided,1,0,0,0,0.0,0.5
a love song,1,0,0,0,0.0,0.5
a love song for bobby long,1,0,0,0,0.0,0.5
a man apart,1,0,0,0,0.0,0.5
a man called ove,1,0,0,0,0.0,0.5
a man for all seasons,1,0,0,0,0.0,0.5
a man of integrity,1,0,0,0,0.0,0.5
a man of no importance,1,0,0,0,0.0,0.5
a mans gotta do,1,0,0,0,0.0,0.5
a mans story,1,0,0,0,0.0,0.5
a map of the world,1,0,0,0,0.0,0.5
a master builder,1,0,0,0,0.0,0.5
a matter of taste,1,0,0,0,0.0,0.5
a merry friggin christmas,1,0,0,0,0.0,0.5
a midsummer nights dream,2,0,0,0,0.0,0.5
a midsummer nights sex comedy,1,0,0,0,0.0,0.5
a mighty heart,1,0,0,0,0.0,0.5
a mighty wind,1,0,0,0,0.0,0.5
a million little pieces,1,0,0,0,0.0,0.5
a moment of innocence,1,0,0,0,0.0,0.5
a monster with a thousand heads,1,0,0,0,0.0,0.5
a most violent year,1,0,0,0,0.0,0.5
a most wanted man,1,0,0,0,0.0,0.5
a mouthful of air,1,0,0,0,0.0,0.5
a murder in the park,1,0,0,0,0.0,0.5
a night at the roxbury,1,0,0,0,0.0,0.5
a night in old mexico,1,0,0,0,0.0,0.5
a night of knowing nothing,1,0,0,0,0.0,0.5
a nightmare on elm street,2,2,0,0,1.0,1.0
a nightmare on elm street 3 dream warriors,1,0,0,0,0.0,0.5
a nightmare on elm street 4 the dream master,1,0,0,0,0.0,0.5
a nightmare on elm street 5 the dream child,1,0,0,0,0.0,0.5
a passage to india,1,0,0,0,0.0,0.5
a perfect day,1,0,0,0,0.0,0.5
a perfect getaway,1,0,0,0,0.0,0.5
a perfect murder,1,0,0,0,0.0,0.5
a perfect world,1,0,0,0,0.0,0.5
a piece of eden,1,0,0,0,0.0,0.5
a place in the sun,1,0,0,0,0.0,0.5
a poem is a naked person,1,0,0,0,0.0,0.5
a prairie home companion,1,0,0,0,0.0,0.5
a prayer before dawn,1,0,0,0,0.0,0.5
a private war,1,0,0,0,0.0,0.5
a promise,1,0,0,0,0.0,0.5
a prophet,1,0,0,0,0.0,0.5
a quiet passion,1,0,0,0,0.0,0.5
a quiet place,5,3,2,0,0.6,0.76
a quiet place part ii,10,3,7,0,0.3,0.67
a rainy day in new york,1,0,0,1,0.0,0.3
a real young girl,1,0,0,0,0.0,0.5
a river below,1,0,0,0,0.0,0.5
a river runs through it,1,0,0,0,0.0,0.5
a room with a view,1,0,0,0,0.0,0.5
