movie_name,review_anger,review_fear,review_sadness,review_joy,review_disgust,review_surprise,review_trust,review_anticipation,summary_anger,summary_fear,summary_sadness,summary_joy,summary_disgust,summary_surprise,summary_trust,summary_anticipation,combined_anger,combined_fear,combined_sadness,combined_joy,combined_disgust,combined_surprise,combined_trust,combined_anticipation
morgan,0.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0
morlang,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
morning,3.0,4.0,5.0,3.0,1.0,4.0,2.0,5.0,3.0,4.0,5.0,3.0,1.0,4.0,2.0,5.0,3.0,4.0,5.0,3.0,1.0,4.0,2.0,5.0
morning glory,1.0,1.0,1.0,4.0,0.0,0.0,10.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0,10.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0,10.0,5.0
morning light,0.0,0.0,0.0,3.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,4.0
morning sun,0.0,0.0,0.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,5.0
morons from outer space,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0
morris from america,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
mortal kombat,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,0.0,7.0,1.0,2.0,8.0,6.0,3.0000000000000004,3.4000000000000004,0.0,2.8000000000000003,0.4,0.8,3.8000000000000003,2.4000000000000004
mortal kombat annihilation,4.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0
mortal thoughts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mortdecai,2.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0
morvern callar,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
moscow belgium,0.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0
moscow never sleeps,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0
mosquita y mari,1.0,2.0,3.0,5.0,1.0,2.0,5.0,3.0,1.0,2.0,3.0,5.0,1.0,2.0,5.0,3.0,1.0,2.0,3.0,5.0,1.0,2.0,5.0,3.0
